clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,source_scheme (toolbox),Annotation: database_cross_reference
cerebral peduncle,SNOMED:362391000,UBERON:0002594,Entire cerebral peduncle,dentatothalamic tract,Entire cerebral peduncle,"Paired structures at the base of the midbrain formed by corticospinal, corticobulbar and corticopontine fibers descending from the internal capsule; each peduncle consists of the crus cerebri anteriorly and the tegmentum posteriorly.",ICBM-DTI-81,BAMS:dt ; BIRNLEX:1104 ; DHBA:12357 ; FMA:72462 ; Wikipedia:Dentatothalamic_tract ; UMLS:C0175411 ; neuronames:534
corona radiata,n/a,UBERON:0004682,,corona radiata of neuraxis,CR,"Fan-shaped mass of white matter fibers that radiate from the internal capsule to all parts of the cerebral cortex; represents the superior continuation of the internal capsule where the projection fibers spread out. Divided by convention into anterior, superior, and posterior subdivisions at the level of the corpus callosum genu and splenium.",ICBM-DTI-81,DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446
anterior corona radiata,n/a,n/a,,,ACR,The anterior subdivision of the corona radiata containing thalamocortical and corticothalamic fibers connecting the anterior thalamic nucleus and mediodorsal thalamic nucleus with the prefrontal and anterior cingulate cortex; bounded posteriorly at the level of the posterior edge of the genu of the corpus callosum.,ICBM-DTI-81,DHBA:10571 ; FMA:83981
superior corona radiata,n/a,n/a,,,SCR,The superior subdivision of the corona radiata comprising projection fibers between the motor and sensory cortices and the thalamus; bounded anteriorly at the posterior edge of the genu and posteriorly at the anterior edge of the splenium of the corpus callosum.,ICBM-DTI-81,DHBA:10572 ; FMA:83982
posterior corona radiata,n/a,n/a,,,PCR,The posterior subdivision of the corona radiata containing fibers from the posterior parietal and occipital cortices projecting to and from the posterior thalamus; overlaps spatially with the superior longitudinal fasciculus and posterior thalamic radiation at its margins.,ICBM-DTI-81,DHBA:12030 ; FMA:83983
posterior thalamic radiation,n/a,UBERON:0034747,,posterior thalamic radiation,PTR,"Thalamocortical fibers connecting the posterior thalamus (pulvinar, lateral geniculate nucleus) with the parietal, occipital and posterior temporal cortices; includes the optic radiation as its ventral component. In the ICBM-DTI-81 atlas this label explicitly encompasses the optic radiation.",ICBM-DTI-81,DHBA:12053 ; FMA:76982 ; neuronames:2083
sagittal stratum,n/a,n/a,,,SS,A sheet of white matter in the temporal and occipital lobes containing the inferior longitudinal fasciculus and inferior fronto-occipital fasciculus running in parallel; in the ICBM-DTI-81 atlas this label bundles both tracts together as they cannot be resolved separately at standard DTI resolution.,ICBM-DTI-81,FMA:83950 ; neuronames:452
external capsule,SNOMED:279300007,UBERON:0004545,External capsule,external capsule of telencephalon,External capsule ; Structure of external capsule,A sheet of white matter lateral to the putamen and medial to the claustrum; contains cortical association fibers including components of the inferior fronto-occipital fasciculus and uncinate fasciculus passing between frontal and temporal lobes.,ICBM-DTI-81 ; Bullock_2022,BAMS:EC ; BAMS:ec ; DHBA:10573 ; DMBA:17765 ; EMAPA:35331 ; FMA:61959 ; HBA:9243 ; MA:0002896 ; MBA:579 ; NCIT:C32550 ; NLXANAT:1010013 ; SCTID:279300007 ; Wikipedia:External_capsule ; neuronames:253 ; UMLS:C0152345
muratoff bundle,n/a,n/a,,,MB ; Muratoff's bundle,"White matter bundle running dorsal to the caudate nucleus and curving around its upper edge; carries corticostriatal fibers primarily from dorsal prefrontal, anterior cingulate, and association cortices to the caudate nucleus. Distinguished from the external capsule in that Muratoff's bundle fibers more commonly terminate in the caudate whereas external capsule fibers more commonly terminate in the putamen. Discussed in Bullock et al. 2022 as distinct from the external capsule and superior fronto-occipital fasciculus.",Bullock_2022,
superior fronto-occipital fasciculus,n/a,UBERON:0022250,,superior fronto-occipital fasciculus,SFO ; SFOF,"A white matter bundle running along the dorsomedial margin of the internal capsule connecting frontal lobe with posterior cortical areas; its anatomical independence from the anterior limb of the internal capsule is debated, and in the ICBM-DTI-81 atlas it is explicitly noted as possibly representing part of the anterior internal capsule rather than a distinct fasciculus.",ICBM-DTI-81,FMA:77634 ; neuronames:2141
tapetum,n/a,UBERON:0000373,,tapetum of corpus callosum,TAP,Callosal fibers from the body and splenium of the corpus callosum that sweep laterally to form the roof and lateral walls of the occipital and temporal horns of the lateral ventricles; lies immediately adjacent to the ependyma of the ventricle.,ICBM-DTI-81,DHBA:12027 ; FMA:77208 ; HBA:265504966 ; SCTID:279312006 ; Wikipedia:Tapetum_of_corpus_callosum ; neuronames:1596
superior longitudinal fasciculus temporal part,n/a,n/a,,,SLF-T ; tSLF,The temporal component of the superior longitudinal fasciculus connecting posterior superior temporal gyrus and angular gyrus with inferior frontal and prefrontal cortex; corresponds to the arcuate fasciculus in many classification schemes. Identified as a distinct probabilistic label in the JHU White Matter Tractography Atlas.,JHU_Tractography,SCTID:369082006
