clean_label,Id_snomed,Id_uberon,Label_snomed,Label_uberon,synonyms,Definition,to_merge?,source_scheme (toolbox),synonyms.1,Incoming: subClassOf,Annotation: database_cross_reference,Incoming: part of - uberon,Synonyms_uberon,IRI
anterior limb of internal capsule,n/a,n/a,,,ALIC,"The anterior subdivision of the internal capsule lying between the head of the caudate nucleus and the anterior lentiform nucleus; carries frontopontine fibers, corticostriatal fibers, and the anterior thalamic radiation connecting mediodorsal and anterior thalamic nuclei with prefrontal and anterior cingulate cortex. A major target for deep brain stimulation and capsulotomy in treatment-resistant OCD and depression.",,ICBM-DTI-81; Bullock_2022,Internal capsule ; Internal capsule structure,,FMA:61952 ; neuronames:200,,,
posterior limb of internal capsule,n/a,UBERON:0014527,,posterior limb of internal capsule,PLIC,"The posterior subdivision of the internal capsule lying between the thalamus and the posterior lentiform nucleus; carries the corticospinal and corticobulbar tracts, superior thalamic radiation, and parietopontine and temporopontine fibers. Damage produces contralateral hemiplegia; the posterior limb is the most clinically critical segment of the internal capsule.",,ICBM-DTI-81; Bullock_2022,Corticospinal tract ; Structure of corticospinal tract,,BAMS:pic ; DHBA:10584 ; FMA:61954 ; NLX:144258 ; SCTID:279296006 ; Wikipedia:Posterior_limb_of_internal_capsule ; neuronames:201,retrolenticular part of internal capsule,posterior internal capsule ; capsula interna ; pars posterior ; crus posterius capsulae internae ; posterior limb of the internal capsule ; posterior limb,http://purl.obolibrary.org/obo/UBERON_0014527
retrolenticular part of internal capsule,n/a,n/a,,,RLIC,"The portion of the internal capsule posterior to the lentiform nucleus; carries the posterior thalamic radiation including the optic radiation from the lateral geniculate nucleus, and parietopontine and occipito-pontine fibers. Damage produces contralateral hemianopia.",,ICBM-DTI-81,,,FMA:61955 ; neuronames:204,,,
medial forebrain bundle,n/a,UBERON:0001882,,nucleus accumbens,,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",,master_LUT; Bullock_2022,,,BAMS:ACB ; BAMS:ACC ; BAMS:Acb ; BIRNLEX:727 ; BM:Ac ; BTO:0001862 ; DHBA:10339 ; EFO:0000906 ; EHDAA2:0004707 ; EMAPA:32789 ; FMA:61889 ; GAID:672 ; HBA:4290 ; MA:0000892 ; MAT:0000512 ; MBA:56 ; MESH:D009714 ; NCIT:C52733 ; PBA:10092 ; SCTID:427667007 ; Wikipedia:Nucleus_accumbens ; UMLS:C0028633 ; neuronames:277,core of nucleus accumbens ; shell of nucleus accumbens,accumbens nucleus ; colliculus nuclei caudati ; colliculus of caudate nucleus ; nucleus accumbens septi,http://purl.obolibrary.org/obo/UBERON_0001882
medial lemniscus,SNOMED:30114003,UBERON:0003002,Medial lemniscus,medial lemniscus,Lemniscus medialis ; Medial lemniscus ; Medial lemniscus structure,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,,DSI_Studio; ICBM-DTI-81,,,,,,http://purl.obolibrary.org/obo/UBERON_0003002
middle cerebellar peduncle,n/a,UBERON:0002152,,middle cerebellar peduncle,MCP,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,,TractSeg; ICBM-DTI-81,Tapetum ; Tapetum of corpus callosum ; Structure of tapetum of corpus callosum,Entire tapetum of corpus callosum,BAMS:BP ; BAMS:bp ; BAMS:mcp ; BIRNLEX:1529 ; BM:Pons-BP ; DHBA:12768 ; FMA:72515 ; HBA:9294 ; MA:0002745 ; MBA:78 ; NIFSTD_RETIRED:birnlex_1699 ; SCTID:279219000 ; Wikipedia:Middle_cerebellar_peduncle ; MESH:D065837 ; UMLS:C0152392 ; neuronames:620,pontocerebellar tract,brachium pontis (stem of middle cerebellar peduncle) ; brachium pontis ; crus cerebelli ad pontem ; crus ponto-cerebellare ; mid-cerebellar peduncle ; pedunculus cerebellaris medialis ; pedunculus cerebellaris medius ; pedunculus cerebellaris pontinus,http://purl.obolibrary.org/obo/UBERON_0002152
medial longitudinal fasciculus,SNOMED:28390009,UBERON:0002794,Medial longitudinal fasciculus,medial longitudinal fasciculus of pons,MLF-Medial longitudinal fasciculus ; Medial longitudinal fasciculus ; Medial longitudinal fasciculus structure,Association bundle connecting the superior temporal gyrus with the parietal lobe; involved in auditory and language processing,,TractSeg; Bullock_2022; Bullock_2019_Brainlife,Frontotemporal fasciculus ; Uncinate fasciculus ; Structure of uncinate fasciculus,Entire medial longitudinal fasciculus ; Entire uncinate fasciculus ; Medulla oblongata medial longitudinal fasciculus structure ; Structure of pontine portion of medial longitudinal fasciculus,BAMS:mlfp ; BIRNLEX:1708 ; FMA:72493 ; UMLS:C0228440 ; neuronames:600,uncinate fasciculus of the forebrain,fasciculus longitudinalis medialis (pontis) ; medial longitudinal fasciculus of pons of varolius ; medial longitudinal fasciculus of the pons ; pons medial longitudinal fasciculus ; pons of varolius medial longitudinal fasciculus,http://purl.obolibrary.org/obo/UBERON_0002794
middle longitudinal fasciculus angular,n/a,n/a,,,MdLF-Ang,The angular gyrus subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the inferior parietal lobule (angular gyrus). Identified as a distinct component in Bullock et al. 2019 and Makris et al. 2013. Corresponds to the inferior parietal termination consistent with monkey tract-tracing data.,,Bullock_2019_Brainlife; Bullock_2022,middle longitudinal fasciculus,,,,,
middle longitudinal fasciculus superior parietal,n/a,n/a,,,MdLF-SPL,"The superior parietal lobule subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the superior parietal lobule. Described in Bullock et al. 2019 and Makris et al. 2013. This component is debated: monkey tract-tracing does not show strong superior temporal to superior parietal connectivity, raising the possibility of a human-specific pathway or tractography false positive.",,Bullock_2019_Brainlife; Bullock_2022,middle longitudinal fasciculus,,,,,
optic radiation,SNOMED:70105001,UBERON:0002934,optic radiation,ventral oculomotor nucleus,Geniculocalcarine tract ; Optic radiation ; Structure of optic radiation,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,,TractSeg; MGH_HCP,Perpendicular fasciculus ; Vertical occipital fasciculus ; Structure of vertical occipital fasciculus,Entire optic radiation ; Entire vertical occipital fasciculus,BIRNLEX:713 ; DHBA:12205 ; FMA:72422 ; HBA:9038 ; UMLS:C0175380 ; neuronames:496,,V3 ; nucleus nervi oculomotorii ventrolateralis ; nucleus nervi oculomotorii ; pars ventralis ; ventral nucleus of oculomotor nuclear complex ; ventral oculomotor cell column,http://purl.obolibrary.org/obo/UBERON_0002934
parieto-occipital pontine tract,n/a,n/a,,,POPT,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,,TractSeg; MGH_HCP; Bullock_2022,,,,,,
posterior arcuate fasciculus,n/a,n/a,,,pArc,The posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule,,Brainlife_WMC; Bullock_2022; Bullock_2019_Brainlife,,,,,,
reticular tract,n/a,n/a,,,RET,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,,DSI_Studio,entire genu of corpus callosum,,,,,
striato-fronto-orbital tract,n/a,n/a,,,ST_FO,Corticostriatal fibers between orbitofrontal cortex and striatum,,TractSeg,,,,,,
striato-occipital tract,n/a,n/a,,,ST_OCC,Corticostriatal fibers between occipital cortex and striatum,,TractSeg,,,,,,
striato-parietal tract,n/a,n/a,,,ST_PAR,Corticostriatal fibers between parietal cortex and striatum,,TractSeg,,,,,,
striato-postcentral tract,n/a,n/a,,,ST_POSTC,Corticostriatal fibers between somatosensory cortex and striatum,,TractSeg,,,,,,
striato-precentral tract,n/a,n/a,,,ST_PREC,Corticostriatal fibers between primary motor cortex and striatum,,TractSeg,,,,,,
striato-prefrontal tract,n/a,n/a,,,ST_PREF,Corticostriatal fibers between prefrontal cortex and striatum,,TractSeg,,,,,,
striato-premotor tract,n/a,n/a,,,ST_PREM,Corticostriatal fibers between premotor cortex and striatum,,TractSeg,,,,,,
superior cerebellar peduncle,n/a,UBERON:0002250,,popliteal artery,SCP,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,,TractSeg; ICBM-DTI-81,,,FMA:77155 ; GAID:504 ; MA:0002021 ; MESH:D011150 ; NCIT:C33337 ; SCTID:181350008 ; Wikipedia:Popliteal_artery ; EMAPA:37109 ; UMLS:C0032649,,arteria poplitea,http://purl.obolibrary.org/obo/UBERON_0002250
superior longitudinal fasciculus,SNOMED:88442005,UBERON:0014528,Corpus callosum,extreme capsule,CC - Corpus callosum ; Corpus callosum ; Corpus callosum structure,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",,AFQ; ICBM-DTI-81; Bullock_2022; Bullock_2019_Brainlife,,Corpus callosum part ; Entire corpus callosum,BAMS:ex ; BAMS:exc ; DHBA:10574 ; FMA:61960 ; HBA:9246 ; NLXANAT:1010014 ; SCTID:279301006 ; Wikipedia:Extreme_capsule ; neuronames:254,,band of Baillarger ; capsula extrema,http://purl.obolibrary.org/obo/UBERON_0014528
superior longitudinal fasciculus I,n/a,n/a,,,SLF-I ; SLF_I,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,,TractSeg; Bullock_2022,,,,,,
superior longitudinal fasciculus II,n/a,n/a,,,SLF-II ; SLF_II,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,,TractSeg; Bullock_2022,,,,,,
superior longitudinal fasciculus III,n/a,n/a,,,SLF-III ; SLF_III,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,,TractSeg; Bullock_2022,,,,,,
superior thalamic radiation,n/a,n/a,,,STR,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,,TractSeg,,,,,,
temporo-parietal connection to superior parietal lobule,n/a,n/a,,,TP-SPL,Association fibers connecting superior temporal cortex with the superior parietal lobule,,Brainlife_WMC; Bullock_2022; Bullock_2019_Brainlife,,,,,,
thalamo-occipital tract,n/a,n/a,,,T_OCC,Thalamocortical fibers connecting the pulvinar with occipital cortex,,TractSeg,,,,,,
thalamo-parietal tract,n/a,n/a,,,T_PAR,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,,TractSeg,,,,,,
thalamo-postcentral tract,n/a,n/a,,,T_POSTC,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,,TractSeg,,,,,,
thalamo-precentral tract,n/a,n/a,,,T_PREC,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,,TractSeg,,,,,,
thalamo-prefrontal tract,n/a,n/a,,,T_PREF,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,,TractSeg,,,,,,
thalamo-premotor tract,n/a,n/a,,,T_PREM,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,,TractSeg,,,,,,
uncinate fasciculus,SNOMED:85637007,UBERON:0003044,Internal capsule,uncinate fasciculus,IC - Internal capsule ; Internal capsule of brain ; Internal capsule structure of brain ; Internal capsule ; Internal capsule structure,Hook-shaped association bundle connecting the anterior temporal lobe and amygdala with the orbitofrontal cortex via the limen insulae,,AFQ; ICBM-DTI-81; Bullock_2022,,Entire internal capsule ; Part of internal capsule of brain,,,,http://purl.obolibrary.org/obo/UBERON_0003044
ventral amygdalofugal pathway,n/a,UBERON:0002981,,pulvinar nucleus,,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",,master_LUT; Bullock_2022,,,BAMS:PUL ; BAMS:Pul ; BAMS:Pulv ; BIRNLEX:824 ; BM:Die-Th-Pl ; BTO:0004352 ; DHBA:10409 ; EV:0100213 ; FMA:62178 ; GAID:662 ; MESH:D020649 ; SCTID:279157006 ; Wikipedia:Pulvinar_nuclei ; UMLS:C0152347 ; neuronames:328,lateral pulvinar nucleus ; medial pulvinar nucleus ; oral pulvinar nucleus ; inferior pulvinar nucleus,Pul ; nuclei pulvinares ; nucleus pulvinaris thalami ; nucleus pulvinaris ; posterior nucleus (P) ; pulvinar nuclei ; pulvinar thalami ; pulvinar thalamus ; pulvinar,http://purl.obolibrary.org/obo/UBERON_0002981
vertical occipital fasciculus,SNOMED:80434005,n/a,vertical occipital fasciculus,,Perpendicular fasciculus ; Vertical occipital fasciculus ; Structure of vertical occipital fasciculus,Short association tract connecting dorsal and ventral occipital cortex running perpendicular to the calcarine sulcus; described by Wernicke (1881),,Brainlife_WMC; Bullock_2022; Bullock_2019_Brainlife,,Entire vertical occipital fasciculus,,,,
pontine crossing tract,n/a,n/a,,,PCT,Transverse pontine fibers crossing the midline within the middle cerebellar peduncle; these fibers originate from the pontine nuclei and project to the contralateral cerebellum. In DTI they are identifiable as the decussating component of the MCP and cannot be fully separated from the surrounding peduncle at standard resolution.,,ICBM-DTI-81,,,,,,
body of corpus callosum,n/a,n/a,,,BCC ; CC-BODY,"The central, largest portion of the corpus callosum between the genu and splenium; fibers pass laterally through the corona radiata to connect frontal, parietal and temporal cortices of the two hemispheres. No single UBERON or SNOMED term maps to this undivided body as a distinct ontology class; this label represents the ICBM-DTI-81 atlas parcellation unit.",,ICBM-DTI-81,CC - Corpus callosum ; Corpus callosum structure,,,,,
cerebral peduncle,SNOMED:362391000,UBERON:0002594,Entire cerebral peduncle,dentatothalamic tract,Entire cerebral peduncle,"Paired structures at the base of the midbrain formed by corticospinal, corticobulbar and corticopontine fibers descending from the internal capsule; each peduncle consists of the crus cerebri anteriorly and the tegmentum posteriorly.",,ICBM-DTI-81,Basis pedunculi ; Cerebral peduncle ; Crus cerebri ; Cerebral peduncle structure,,BAMS:dt ; BIRNLEX:1104 ; DHBA:12357 ; FMA:72462 ; Wikipedia:Dentatothalamic_tract ; UMLS:C0175411 ; neuronames:534,,DT ; dentatothalamic fibers ; tractus dentatothalamicus,http://purl.obolibrary.org/obo/UBERON_0002594
corona radiata,n/a,UBERON:0004682,,corona radiata of neuraxis,CR,"Fan-shaped mass of white matter fibers that radiate from the internal capsule to all parts of the cerebral cortex; represents the superior continuation of the internal capsule where the projection fibers spread out. Divided by convention into anterior, superior, and posterior subdivisions at the level of the corpus callosum genu and splenium.",,ICBM-DTI-81,,,DHBA:12030 ; FMA:18661 ; HBA:265505046 ; NLXANAT:090903 ; Wikipedia:Corona_radiata ; neuronames:1446,anterior corona radiata ; superior corona radiata ; posterior corona radiata,corona radiata,http://purl.obolibrary.org/obo/UBERON_0004682
anterior corona radiata,n/a,n/a,,,ACR,The anterior subdivision of the corona radiata containing thalamocortical and corticothalamic fibers connecting the anterior thalamic nucleus and mediodorsal thalamic nucleus with the prefrontal and anterior cingulate cortex; bounded posteriorly at the level of the posterior edge of the genu of the corpus callosum.,,ICBM-DTI-81,,,DHBA:10571 ; FMA:83981,,,
superior corona radiata,n/a,n/a,,,SCR,The superior subdivision of the corona radiata comprising projection fibers between the motor and sensory cortices and the thalamus; bounded anteriorly at the posterior edge of the genu and posteriorly at the anterior edge of the splenium of the corpus callosum.,,ICBM-DTI-81,,,DHBA:10572 ; FMA:83982,,,
posterior corona radiata,n/a,n/a,,,PCR,The posterior subdivision of the corona radiata containing fibers from the posterior parietal and occipital cortices projecting to and from the posterior thalamus; overlaps spatially with the superior longitudinal fasciculus and posterior thalamic radiation at its margins.,,ICBM-DTI-81,,,DHBA:12030 ; FMA:83983,,,
posterior thalamic radiation,n/a,UBERON:0034747,,posterior thalamic radiation,PTR,"Thalamocortical fibers connecting the posterior thalamus (pulvinar, lateral geniculate nucleus) with the parietal, occipital and posterior temporal cortices; includes the optic radiation as its ventral component. In the ICBM-DTI-81 atlas this label explicitly encompasses the optic radiation.",,ICBM-DTI-81,,,DHBA:12053 ; FMA:76982 ; neuronames:2083,,posterior thalamic radiation ; posterior thalamic radiations ; pthr ; radiatio posterior thalami ; radiatio thalamica posterior ; radiationes thalamicae posteriores,http://purl.obolibrary.org/obo/UBERON_0034747
sagittal stratum,n/a,n/a,,,SS,A sheet of white matter in the temporal and occipital lobes containing the inferior longitudinal fasciculus and inferior fronto-occipital fasciculus running in parallel; in the ICBM-DTI-81 atlas this label bundles both tracts together as they cannot be resolved separately at standard DTI resolution.,,ICBM-DTI-81,,,FMA:83950 ; neuronames:452,,,
external capsule,SNOMED:279300007,UBERON:0004545,External capsule,external capsule of telencephalon,Structure of external capsule ; External capsule,A sheet of white matter lateral to the putamen and medial to the claustrum; contains cortical association fibers including components of the inferior fronto-occipital fasciculus and uncinate fasciculus passing between frontal and temporal lobes.,,ICBM-DTI-81; Bullock_2022,Structure of external capsule ; External capsule,Entire external capsule,BAMS:EC ; BAMS:ec ; DHBA:10573 ; DMBA:17765 ; EMAPA:35331 ; FMA:61959 ; HBA:9243 ; MA:0002896 ; MBA:579 ; NCIT:C32550 ; NLXANAT:1010013 ; SCTID:279300007 ; Wikipedia:External_capsule ; neuronames:253 ; UMLS:C0152345,,brain external capsule ; capsula externa ; corpus callosum external capsule ; external capsule,http://purl.obolibrary.org/obo/UBERON_0004545
muratoff bundle,n/a,n/a,,,MB ; Muratoff's bundle,"White matter bundle running dorsal to the caudate nucleus and curving around its upper edge; carries corticostriatal fibers primarily from dorsal prefrontal, anterior cingulate, and association cortices to the caudate nucleus. Distinguished from the external capsule in that Muratoff's bundle fibers more commonly terminate in the caudate whereas external capsule fibers more commonly terminate in the putamen. Discussed in Bullock et al. 2022 as distinct from the external capsule and superior fronto-occipital fasciculus.",,Bullock_2022,,,,,,
superior fronto-occipital fasciculus,n/a,UBERON:0022250,,superior fronto-occipital fasciculus,SFOF ; SFO,"A white matter bundle running along the dorsomedial margin of the internal capsule connecting frontal lobe with posterior cortical areas; its anatomical independence from the anterior limb of the internal capsule is debated, and in the ICBM-DTI-81 atlas it is explicitly noted as possibly representing part of the anterior internal capsule rather than a distinct fasciculus.",,ICBM-DTI-81,Superior fronto-occipital fasciculus ; Structure of superior fronto-occipital fasciculus,,FMA:77634 ; neuronames:2141,,fasciculus subcallosus ; subcallosal bundle,http://purl.obolibrary.org/obo/UBERON_0022250
tapetum,n/a,UBERON:0000373,,tapetum of corpus callosum,TAP,Callosal fibers from the body and splenium of the corpus callosum that sweep laterally to form the roof and lateral walls of the occipital and temporal horns of the lateral ventricles; lies immediately adjacent to the ependyma of the ventricle.,,ICBM-DTI-81,Tapetum ; Tapetum of corpus callosum ; Structure of tapetum of corpus callosum,,DHBA:12027 ; FMA:77208 ; HBA:265504966 ; SCTID:279312006 ; Wikipedia:Tapetum_of_corpus_callosum ; neuronames:1596,,tapetum corporis callosi ; tapetum,http://purl.obolibrary.org/obo/UBERON_0000373
superior longitudinal fasciculus temporal part,n/a,n/a,,,tSLF ; SLF-T,The temporal component of the superior longitudinal fasciculus connecting posterior superior temporal gyrus and angular gyrus with inferior frontal and prefrontal cortex; corresponds to the arcuate fasciculus in many classification schemes. Identified as a distinct probabilistic label in the JHU White Matter Tractography Atlas.,,JHU_Tractography,Arcuate fasciculus ; Superior longitudinal fasciculus ; Structure of superior longitudinal fasciculus,,SCTID:369082006,,arcuate fasciculus ; temporal part of superior longitudinal fasciculus,
,,,,,,,,,,,,,,
