Id_snomed	Label	Synonyms_snomed	Annotation: alternative label	Annotation: preferred label	Incoming: subClassOf	Outgoing: Subclass Of	Outgoing: hierarchicalAncestors_snomed	Outgoing: hierarchicalChildren_snomed	Outgoing: hierarchicalDescendants_snomed	Id_uberon	Annotation: database_cross_reference	Annotation: depiction	Annotation: dubious for taxon	Annotation: editor note	Annotation: external_definition	Annotation: external_ontology_notes	Annotation: has_alternative_id	Annotation: homology_notes	Annotation: id	Annotation: never in taxon	Annotation: present in taxon	Annotation: taxon_notes	Definition	IRI	Incoming: BSPO 0000122	Incoming: BSPO 0000123	Incoming: RO 0002296	Incoming: RO 0002433	Incoming: adjacent to	Incoming: overlaps	Incoming: part of	Incoming: rdf-schema#subClassOf	Incoming: results in morphogenesis of	Outgoing: Subclass Of (Is A)	Outgoing: ancestors	Outgoing: children	Outgoing: contributes to morphology of	Outgoing: descendants	Outgoing: extends fibers into	Outgoing: has part	Outgoing: hierarchicalAncestors_uberon	Outgoing: hierarchicalChildren_uberon	Outgoing: hierarchicalDescendants_uberon	Outgoing: in taxon	Outgoing: overlaps	Outgoing: parents	Outgoing: part of	Synonyms_uberon
	internal capsule of telencephalon									UBERON:0001887	BAMS:ic ; BAMS:int ; BIRNLEX:1659 ; BM:IC ; DHBA:10581 ; DMBA:17770 ; EMAPA:18206 ; EMAPA:35437 ; FMA:61950 ; GAID:685 ; HBA:9263 ; MA:0002748 ; MBA:6 ; MESH:D020772 ; NCIT:C13082 ; PBA:10102 ; SCTID:85637007 ; UMLS:C0152341 ; Wikipedia:Internal_capsule	http://upload.wikimedia.org/wikipedia/commons/9/91/Telencephalon-Horiconatal.jpg							UBERON:0001887		http://purl.obolibrary.org/obo/NCBITaxon_9606		White matter regional part of brain which is flanked by nuclear masses, consisting of both afferent and efferent fibers projecting between the cerebral cortex and the brainstem and spinal cord. It consists of three distinct parts: an anterior limb, posterior limb, and genu. (Adapted from MSH by Maryann Martone).	http://purl.obolibrary.org/obo/UBERON_0001887							posterior limb of internal capsule ; limb of internal capsule of telencephalon			hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	internal capsule ; brain internal capsule ; internal capsule radiations ; capsula interna
	medial longitudinal fasciculus of pons									UBERON:0002794	BAMS:mlfp ; BIRNLEX:1708 ; FMA:72493 ; UMLS:C0228440 ; neuronames:600								UBERON:0002794				A medial longitudinal fasciculus that is part of a pons [Automatically generated definition].	http://purl.obolibrary.org/obo/UBERON_0002794										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	medial longitudinal fasciculus of pons of varolius ; pons medial longitudinal fasciculus ; pons of varolius medial longitudinal fasciculus ; fasciculus longitudinalis medialis (pontis) ; medial longitudinal fasciculus of the pons
	olfactory tract									UBERON:0002265	BAMS:olf ; BIRNLEX:1663 ; BTO:0003647 ; DHBA:12073 ; EMAPA:35615 ; FMA:77626 ; HBA:9302 ; MA:0000975 ; NCIT:C33207 ; SCTID:362356008 ; UMLS:C0162435 ; Wikipedia:Olfactory_tract ; neuronames:283	http://upload.wikimedia.org/wikipedia/commons/4/4d/Gray732.png			A nervelike, white band composed primarily of nerve fibres originating from the mitral cells and tufted cells of the olfactory bulb but also containing the scattered cells of the anterior olfactory nucleus[BTO:0003647]. ; The olfactory tract is a bundle of axons connecting the mitral and tufted cells of the olfactory bulb to several target regions in the brain, including piriform cortex, amygdala, and entorhinal cortex. It is a narrow white band, triangular on coronal section, the apex being directed upward. It lies in the olfactory sulcus on the inferior surface of the frontal lobe, and divides posteriorly into two striæ, a medial olfactory stria and a lateral olfactory stria.[Wikipedia]. ; Tract of brain which is continuous with olfactory bulb and the cerebral cortex.[FMA] ; White matter tract that contains projections from the olfactory bulb to the olfactory cortex (Maryann Martone)	The definition was adapted from the NIFSTD class which has been retired. It has been generalized so it is applicable to various different kinds of olfactory tracts found in different taxa.			UBERON:0002265		http://purl.obolibrary.org/obo/NCBITaxon_9606	in animals with a long snout, the olfactory tract is long, whereas it is short in short-snouted animals such as primates. In some birds the tract per se does not exist as the bulb is connected directly to the cerebral hemisphere.[ISBN:0471888893]	White matter tract that contains projections from the olfactory bulb to other parts of the brain.	http://purl.obolibrary.org/obo/UBERON_0002265						olfactory pathway		olfactory tract linking bulb to ipsilateral ventral telencephalon ; olfactory tract linking bulb to ipsilateral dorsal telencephalon		hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants		http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002131	parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	olfactory peduncle ; olfactory stalk ; pedunclulus olfactorius ; tractus olfactorium ; tractus olfactorius
	optic radiation									UBERON:0022264	DHBA:266441621 ; FMA:61941 ; HBA:9311 ; SCTID:280953008 ; Wikipedia:Optic_radiation ; neuronames:1440	https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb ; https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb							UBERON:0022264		http://purl.obolibrary.org/obo/NCBITaxon_9606		The optic radiation (also known as the geniculo-calcarine tract or as the geniculostriate pathway) is a collection of axons from relay neurons in the lateral geniculate nucleus of the thalamus carrying visual information to the visual cortex (also called striate cortex) along the calcarine fissure. There is one such tract on each side of the brain.	http://purl.obolibrary.org/obo/UBERON_0022264							Meyer's loop of optic radiation			hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	Gratiolet's radiation ; archambault%27s loop ; genicula-celcarine tract ; geniculo-calcarine tract ; geniculocalcarine tract ; geniculostriate pathway ; meyer's loop ; optic radiations ; radiatio optica ; railroad nystagmus
	radiation of thalamus									UBERON:0034745	FMA:76975			todo - add all					UBERON:0034745					http://purl.obolibrary.org/obo/UBERON_0034745								posterior thalamic radiation ; anterior thalamic radiation		hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	thalamus radiation ; thalamic radiation
	sagittal stratum									UBERON:0035931	DHBA:12082 ; FMA:277107 ; HBA:265505286								UBERON:0035931					http://purl.obolibrary.org/obo/UBERON_0035931										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	sst
	subcallosal fasciculus									UBERON:0022250	DHBA:12071 ; FMA:77634 ; FMA:77637 ; HBA:265505338 ; SCTID:369086009 ; neuronames:2141		http://purl.obolibrary.org/obo/NCBITaxon_9606						UBERON:0022250					http://purl.obolibrary.org/obo/UBERON_0022250										hierarchicalParents	ancestors						hierarchicalAncestors					parents		fasciculus occipitofrontalis superior ; fasciculus subcallosus ; superior occipitofrontal fasciculus ; subcallosal bundle ; superior fronto-occipital bundle ; superior fronto-occipital fasciculus ; superior occipito-frontal fascicle ; superior occipitofrontal fasciculus
	superior longitudinal fasciculus									UBERON:0022246	DHBA:10592 ; FMA:77631 ; HBA:9281 ; SCTID:369082006 ; Wikipedia:Superior_longitudinal_fasciculus ; neuronames:2080								UBERON:0022246				The superior longitudinal fasciculus (also called the superior longitudinal fascicle or SLF) is a pair of long bi-directional bundles of neurons connecting the front and the back of the cerebrum. Each association fiber bundle is lateral to the centrum ovale of a cerebral hemisphere and connects the frontal, occipital, parietal, and temporal lobes. The neurons pass from the frontal lobe through the operculum to the posterior end of the lateral sulcus where numerous neurons radiate into the occipital lobe and other neurons turn downward and forward around the putamen and radiate to anterior portions of the temporal lobe.	http://purl.obolibrary.org/obo/UBERON_0022246							arcuate fasciculus ; temporal part of superior longitudinal fasciculus			hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants			parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	superior longitudinal fascicle
	tapetum of corpus callosum									UBERON:0000373	DHBA:12027 ; FMA:77208 ; HBA:265504966 ; SCTID:279312006 ; Wikipedia:Tapetum_of_corpus_callosum ; neuronames:1596	http://upload.wikimedia.org/wikipedia/commons/a/aa/Gray733.png				not to be confused with BTO:0001350 or GO:0048655-tapetal layer morphogenesis			UBERON:0000373				On either side of the corpus collosum, the fibers radiate in the white substance and pass to the various parts of the cerebral cortex; those curving forward from the genu into the frontal lobe constitute the forceps anterior, and those curving backward into the occipital lobe, the forceps posterior. Between these two parts is the main body of the fibers which constitute the tapetum and extend laterally on either side into the temporal lobe, and cover in the central part of the lateral ventricle. [Wikipedia via Greys].	http://purl.obolibrary.org/obo/UBERON_0000373										hierarchicalParents	ancestors						hierarchicalAncestors					parents	http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBFO_0000050	tapetum ; tapetum corporis callosi
	uncinate fasciculus									UBERON:0003044	BAMS:unc ; BIRNLEX:983 ; DHBA:10594 ; FMA:77636 ; MESH:D000083382 ; SCTID:369083001 ; UMLS:C0228271 ; Wikipedia:Uncinate_fasciculus ; neuronames:597	http://upload.wikimedia.org/wikipedia/commons/d/d1/Gray751.png							UBERON:0003044				Pathway arising from the fastigial nucleus to the vestibular nuclei, reticular formation, motor neurons of brainstem and cervical spinal cord (Butler and Hodos, Comparative Vertebrate Neuroanatomy, 2nd ed., 2005, pg 261).	http://purl.obolibrary.org/obo/UBERON_0003044							uncinate fasciculus of the forebrain			hierarchicalParents	ancestors	children		descendants			hierarchicalAncestors	hierarchicalChildren	hierarchicalDescendants		http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002131	parents		cerebral uncinate fasciculus ; cerebellospinal tract ; fasciculus fastigio-vestibularis ; fastigiobulbar tract ; hook bundle of Russell ; russell's fasciculus ; tractus cerebello-bulbaris ; tractus uncinatus ; tractus uncinatus (Lewandowsky) ; uncinate bundle of Russell ; uncinate fascicle (Russell) ; uncinate fasciculus of Russell ; uncinate fasciculus of cerebellum ; uncinate fasciculus of pons ; uncinate fasciculus of the pons ; uncinate fasciculus-2
